have_first_name,have_middlename,have_lastname,have_cellphone,have_workphone,have_otherphone,primary_contact,have_email,have_secondary_email,have_address_line1,have_address_line2,city,state,zipcode,Profession,Speciality,experience,available_date,Student,Terms_and_conditions_accepted,Approved,Visible,Referral_Source,application_source,LE_Record_Type,created_date,modified_date,Counts
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Miami,Florida,33169,PHARM,Manager,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 8:12,7/14/16 8:12,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Reynoldsburg,Ohio,43068,RN,Case Manager,14,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:59,7/14/16 12:42,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Hamilton,Ohio,45011,RN,PSYCH,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 14:07,7/14/16 14:07,
Yes,Yes,Yes,Yes,No,No,H,Yes,Yes,Yes,Yes,Mason,Ohio,45040,RN,ICU,0,1899-12-30,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:43,7/14/16 13:58,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Dearborn,Michigan,48124,RN,PEDS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/14/16 4:57,7/14/16 4:57,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lafayette,Indiana,47909,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:49,7/14/16 9:49,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Holliston,Massachusetts,1746,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 12:40,7/14/16 12:40,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Dublin,Ohio,43017,RN,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 4:01,7/14/16 4:01,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Erie,Pennsylvania,16509,PHARM,Manager,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:09,7/14/16 9:09,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Bradenton,Florida,34203,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 8:36,7/14/16 8:36,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Fishers,Indiana,46038,RN,Hospice,0,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:03,7/14/16 3:29,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Randallstown,Maryland,21133,LVN,MED SURG,,1/1/00,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:42,7/14/16 3:52,30
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Paynesville,Minnesota,56362,NP,Acute Care,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 3:16,7/14/16 3:16,18
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Kansas City,Kansas,66102,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 14:34,7/14/16 14:34,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Hoffman Estates,Illinois,60192,PHARM Tech,Manager,28,,No,No,No,Yes,Health Jobs,LABOR_EDGE,PROSPECT,9/18/15 14:05,7/14/16 11:53,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Decatur,Georgia,30034,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 7:43,7/14/16 7:43,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,La Grange,Illinois,60525,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 11:44,7/14/16 11:44,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Akron,Ohio,44313,RN,Ortho,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 13:09,7/14/16 13:09,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Chicago,Illinois,60626,RN,Case Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 4:27,7/14/16 4:27,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Chicago,Illinois,60652,PHARM,Manager,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:34,7/14/16 9:34,
Yes,Yes,Yes,Yes,No,No,H,Yes,Yes,Yes,Yes,Mishawaka,Indiana,46544,RN,Ortho,2,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:42,7/14/16 12:21,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Ellicott City,Maryland,21043,PHARM,Manager,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 12:15,7/14/16 12:15,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Guttenberg,New Jersey,7093,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 3:40,7/14/16 3:40,
